Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker,Insider Activity
"Republic Services, Inc",Industrials,Waste Management,USA,NYSE,S&P 500,38.36,6.63,35.34%,312.00M,0.89%,79.51B,33.31,7.64,-0.01%,202.05M,2.72%,2.08B,3.92,1.76,59.84%,1.19%,9.35%,16.18B,4.91,6.63%,0.08%,1.72,17.37%,37.38,6.81,10.88%,6.46%,2.40M,36.20%,0.27,957.97,9.79%,18.54%,180.91,255.54,26.47%,2.37 (0.93%),33.83,14.26%,8.43%,-0.43%,0.64,2.27 (0.89%),0.64,9.47%,30.77%,40.64%,4.15,"Jul 02, 2025",0.66,16.45%,20.34%,62.25,0.54%,1.14%,42000,1.16,6.13%,12.88%,2.04,264.89,Yes / Yes,1.12,9.93%,34.36%,0.60,254.08,-0.90%,3.24%,3.81%,Apr 24 AMC,1.39M,254.44,2.11%,4.27%,15.88%,"

","840,271",0.14%,RSG,-0.0001
Cintas Corporation,Industrials,Specialty Business Services,USA,NASD,"NDX, S&P 500",52.15,4.31,15.00%,403.67M,1.67%,90.75B,46.38,4.85,-0.02%,343.23M,7.40%,1.77B,4.33,1.07,65.16%,1.43%,10.51%,10.14B,8.95,15.87%,0.78%,2.62,1.35%,11.38,19.76,10.42%,19.06%,4.90M,31.66%,0.60,372.80,12.04%,40.15%,164.93,228.12,23.02%,1.36 (0.60%),49.67,13.70%,26.12%,-1.48%,1.06,1.17 (0.52%),0.89,6.94%,48.26%,36.27%,3.85,"May 15, 2025",1.11,25.15%,22.77%,67.68,0.88%,0.83%,46500,0.59,7.79%,17.47%,2.71,215.36,Yes / Yes,0.48,17.32%,35.65%,0.52,225.08,0.46%,5.68%,8.44%,Mar 26 BMO,1.87M,224.75,3.01%,7.56%,9.46%,"

","974,193",-0.15%,CTAS,-0.0002
"Royal Gold, Inc",Basic Materials,Gold,USA,NASD,-,29.63,6.05,0.38%,65.74M,-0.17%,11.81B,22.15,8.10,-2.92%,65.56M,-0.54%,398.36M,2.17,1.60,88.63%,2.68%,23.69%,763.93M,15.46,33.96%,1.44%,3.02,20.41%,48.73,3.68,14.94%,11.77%,1.76M,39.60%,3.66,49.04,13.68%,13.03%,119.72,191.78,36.06%,1.78 (0.99%),32.10,28.65%,12.44%,-6.45%,0.45,1.70 (0.95%),4.52,9.59%,67.82%,49.85%,4.72,"Jul 03, 2025",4.74,78.69%,62.50%,54.55,1.36%,2.53%,30,0.00,30.76%,52.15%,1.77,203.42,Yes / Yes,0.00,140.43%,31.20%,0.57,178.48,6.19%,5.90%,29.91%,May 07 AMC,583.19K,179.40,1.51%,3.86%,19.13%,"

","334,502",0.52%,RGLD,-0.0292
KLA Corp,Technology,Semiconductor Equipment & Materials,USA,NASD,"NDX, S&P 500",28.13,27.52,0.16%,132.24M,-0.64%,102.35B,23.30,33.22,-8.17%,132.03M,12.50%,3.70B,1.70,8.53,87.75%,2.48%,10.70%,11.54B,8.87,36.46%,-1.32%,2.69,21.02%,30.28,25.56,2.55%,24.52%,3.27M,-0.65%,30.46,25.41,16.51%,104.10%,551.33,896.32,22.83%,6.77 (0.87%),29.15,22.04%,36.77%,-13.65%,1.40,6.75 (0.87%),1.68,17.33%,61.12%,40.38%,26.11,"May 19, 2025",2.49,44.14%,42.01%,57.95,2.65%,2.80%,15230,1.52,20.44%,32.02%,2.00,797.17,Yes / Yes,1.51,84.40%,27.86%,0.76,777.50,1.78%,3.99%,29.93%,Apr 30 AMC,1.22M,773.97,3.02%,9.99%,8.71%,"

","932,526",-0.45%,KLAC,-0.0817
"Manhattan Associates, Inc",Technology,Software - Application,USA,NASD,-,53.85,3.51,1.43%,60.71M,0.49%,11.47B,37.77,5.00,-0.79%,59.84M,7.17%,217.15M,5.49,1.13,99.62%,4.08%,7.81%,1.05B,10.92,-2.55%,-3.51%,3.06,-32.64%,4.04,46.79,8.73%,31.40%,2.44M,-17.20%,3.39,55.71,9.81%,89.60%,140.81,312.60,-30.10%,-,37.20,21.66%,74.34%,-39.57%,1.08,-,1.10,11.39%,55.01%,34.15%,5.17,-,1.10,14.35%,25.71%,55.80,2.09%,1.89%,4690,0.19,9.18%,20.67%,2.00,200.67,Yes / Yes,0.19,-0.73%,0.00%,0.94,188.28,2.45%,15.93%,3.24%,Apr 22 AMC,797.48K,188.89,0.18%,7.24%,-20.00%,"

","750,005",0.32%,MANH,-0.0079
Astrazeneca plc ADR,Healthcare,Drug Manufacturers - General,United Kingdom,NASD,NDX,28.47,2.49,0.01%,3.10B,1.71%,219.79B,13.93,5.09,0.00%,3.10B,-1.17%,7.77B,2.54,1.10,16.54%,0.24%,-6.32%,54.98B,4.00,9.83%,0.57%,1.29,7.98%,13.23,5.36,12.82%,7.45%,7.34M,-9.77%,1.74,40.74,11.19%,19.81%,61.24,87.68,8.17%,1.61 (2.28%),19.16,34.63%,11.28%,-19.17%,0.38,1.55 (2.19%),0.70,17.77%,72.58%,15.73%,1.39,"Feb 21, 2025",0.90,22.70%,20.63%,55.04,0.77%,1.75%,94300,0.77,15.48%,14.14%,1.35,92.23,Yes / Yes,0.68,33.73%,66.98%,0.60,70.38,-1.60%,11.52%,7.17%,Apr 29 BMO,5.71M,70.87,1.84%,1.19%,-2.47%,"

","3,460,905",0.70%,AZN,0.0
Arista Networks Inc,Technology,Computer Hardware,USA,NYSE,S&P 500,36.54,2.36,17.91%,1.26B,-6.56%,108.47B,28.86,2.99,-0.55%,1.03B,6.99%,3.03B,2.22,0.65,69.01%,2.36%,-5.68%,7.44B,14.59,12.57%,-0.18%,2.18,-15.01%,8.05,10.73,17.10%,24.16%,24.33M,12.70%,6.49,13.31,16.47%,33.68%,59.43,133.57,-21.86%,-,28.66,27.37%,29.93%,-35.34%,1.37,-,3.31,25.04%,64.09%,45.33%,3.68,-,3.93,30.81%,42.27%,45.60,3.82%,3.44%,4412,0.00,22.31%,40.72%,1.46,109.15,Yes / Yes,0.00,27.65%,0.00%,1.62,92.79,1.90%,10.23%,27.58%,May 06 AMC,11.17M,86.37,-6.16%,4.65%,-9.80%,"

","17,927,416",-6.92%,ANET,-0.0055000000000000005
Kenvue Inc,Consumer Defensive,Household & Personal Products,USA,NYSE,S&P 500,43.00,0.55,0.07%,1.92B,-1.75%,45.27B,19.28,1.22,-1.26%,1.92B,0.86%,1.06B,9.31,0.28,100.53%,2.57%,1.90%,15.30B,2.96,0.02%,-1.32%,2.83,-2.08%,5.24,4.50,7.25%,3.94%,49.27M,21.86%,0.55,42.83,4.62%,10.22%,17.67,25.17,10.44%,0.82 (3.47%),31.35,-6.66%,6.42%,-6.32%,0.91,0.82 (3.48%),0.60,1.56%,58.18%,33.45%,0.56,"May 14, 2025",0.86,-29.18%,17.10%,49.78,1.18%,1.72%,22000,0.88,-1.18%,6.90%,2.52,24.93,Yes / Yes,0.64,8.50%,150.50%,1.13,23.55,1.73%,5.49%,-3.93%,May 08 BMO,17.41M,23.58,-0.95%,1.11%,4.36%,"

","19,711,480",0.13%,KVUE,-0.0126
"Copart, Inc",Industrials,Specialty Business Services,USA,NASD,"NDX, S&P 500",33.89,1.52,8.54%,966.09M,-15.83%,49.68B,29.82,1.72,-0.82%,883.57M,-15.02%,1.48B,2.84,0.36,84.87%,2.23%,-6.90%,4.59B,10.82,11.19%,2.05%,3.51,-17.99%,8.59,5.98,10.78%,16.72%,19.70M,-4.81%,4.54,11.33,11.92%,18.54%,48.05,64.38,-10.40%,-,42.05,17.85%,16.68%,-20.13%,1.10,-,7.91,16.03%,44.00%,7.01%,1.59,-,7.98,5.94%,35.80%,22.79,5.41%,2.89%,11700,0.01,10.21%,32.21%,2.23,61.83,Yes / Yes,0.01,7.28%,0.00%,1.37,52.05,-1.39%,0.79%,7.49%,May 22 AMC,5.61M,51.42,-14.20%,-12.21%,-8.64%,"

","7,665,478",-1.21%,CPRT,-0.008199999999999999
"Microchip Technology, Inc",Technology,Semiconductors,USA,NASD,"NDX, S&P 500",-,-0.01,2.13%,538.70M,-1.92%,31.34B,22.93,2.53,-0.05%,527.89M,26.55%,-2.70M,-,0.22,97.24%,5.79%,1.73%,4.40B,7.12,4.76%,1.15%,2.53,-12.87%,13.14,4.42,84.65%,-0.00%,30.54M,-40.84%,1.43,40.62,34.94%,-0.01%,34.12,98.10,1.33%,1.84 (3.17%),40.60,-,-0.02%,-40.76%,1.47,1.82 (3.13%),1.47,1.10%,44.50%,70.29%,2.66,"May 22, 2025",2.59,-100.12%,8.53%,59.50,3.42%,3.93%,19400,0.82,-42.35%,-0.06%,1.62,63.90,Yes / Yes,0.81,-202.57%,48.34%,0.54,57.46,0.82%,5.06%,-26.80%,May 08 AMC,12.07M,58.11,4.09%,18.15%,-6.94%,"

","6,574,856",1.13%,MCHP,-0.0005
CSX Corp,Industrials,Railroads,USA,NASD,"NDX, S&P 500",18.72,1.68,0.19%,1.88B,3.05%,59.02B,16.33,1.92,-0.04%,1.88B,12.01%,3.24B,4.02,0.42,77.00%,1.44%,-1.84%,14.28B,4.13,-9.52%,-3.43%,1.67,-12.19%,6.48,4.85,16.20%,7.53%,26.98M,-6.99%,0.61,51.46,4.66%,26.13%,26.22,37.10,-2.63%,0.50 (1.60%),21.91,5.12%,10.38%,-15.31%,1.23,0.50 (1.59%),0.75,4.70%,35.29%,19.84%,0.64,"May 30, 2025",0.88,-7.80%,35.29%,65.96,0.96%,1.60%,23500,1.61,-2.39%,22.66%,1.82,32.43,Yes / Yes,1.56,-25.00%,26.88%,0.93,31.34,-0.85%,-6.85%,-7.01%,Apr 16 AMC,16.16M,31.42,4.30%,7.85%,-2.95%,"

","15,013,340",0.26%,CSX,-0.0004
Sanofi ADR,Healthcare,Drug Manufacturers - General,France,NASD,-,21.86,2.39,0.02%,2.61B,-1.04%,127.55B,10.48,5.00,0.00%,2.44B,-2.55%,6.02B,1.69,0.94,10.73%,0.15%,-3.31%,44.44B,2.87,23.13%,-1.29%,1.26,8.43%,32.01,1.64,9.28%,4.29%,3.69M,7.85%,3.21,16.30,12.96%,7.34%,45.80,60.12,8.54%,2.34 (4.46%),16.04,13.05%,6.39%,-12.92%,0.51,2.21 (4.23%),0.73,2.13%,63.49%,14.30%,1.07,"May 09, 2025",1.08,2.96%,23.14%,50.15,0.95%,1.93%,84587,0.23,-4.57%,13.54%,1.62,66.41,Yes / Yes,0.17,-,66.96%,0.76,51.99,3.35%,3.11%,-,Apr 24 BMO,2.92M,52.35,0.32%,-1.00%,-1.38%,"

","2,236,590",0.69%,SNY,0.0
"Jack Henry & Associates, Inc",Technology,Information Technology Services,USA,NASD,S&P 500,30.65,5.87,0.57%,72.82M,-1.58%,13.11B,28.04,6.42,-4.87%,72.40M,3.79%,429.22M,2.98,1.55,98.46%,2.87%,4.78%,2.32B,5.65,15.54%,-1.02%,2.89,4.39%,27.97,6.44,6.28%,15.05%,2.07M,6.80%,0.55,328.89,10.28%,22.49%,157.00,196.00,2.73%,2.23 (1.24%),27.25,8.27%,19.87%,-8.12%,0.73,2.26 (1.25%),1.17,7.40%,42.06%,14.70%,3.72,"May 29, 2025",1.17,13.36%,23.34%,51.98,1.27%,1.41%,7170,0.11,6.04%,18.50%,2.80,186.14,Yes / Yes,0.06,27.60%,40.93%,1.22,182.10,-0.37%,10.98%,8.64%,May 06 AMC,716.75K,180.08,0.34%,2.08%,2.52%,"

","868,500",-1.11%,JKHY,-0.0487
"Gartner, Inc",Technology,Information Technology Services,USA,NYSE,S&P 500,27.09,16.08,2.81%,77.39M,-1.66%,33.52B,32.01,13.61,-0.69%,74.81M,3.56%,1.25B,7.55,3.30,96.24%,2.81%,-11.36%,6.33B,5.30,-11.72%,1.28%,3.07,-16.20%,19.36,22.50,9.38%,15.49%,2.11M,-0.79%,27.17,16.03,3.59%,113.19%,366.05,584.01,-10.09%,-,22.28,44.23%,29.28%,-25.42%,1.23,-,0.99,8.34%,64.57%,18.99%,9.25,"Jul 19, 1999",0.99,59.74%,17.75%,50.07,1.59%,1.23%,21044,1.93,5.99%,19.82%,2.54,480.33,Yes / Yes,1.86,1.70%,0.00%,1.09,435.18,-0.04%,9.69%,4.16%,May 06 BMO,685.45K,435.57,-0.89%,3.12%,-10.33%,"

","743,504",0.09%,IT,-0.0069
Visa Inc,Financial,Credit Services,USA,NYSE,"DJIA, S&P 500",36.86,9.83,12.00%,1.72B,1.14%,702.75B,28.46,12.73,-0.10%,1.71B,6.11%,19.64B,2.92,2.84,80.07%,1.67%,1.87%,37.62B,18.68,12.69%,-0.61%,4.15,16.93%,19.12,18.95,12.43%,21.21%,28.42M,32.03%,9.08,39.91,12.63%,50.03%,252.70,369.15,14.67%,2.40 (0.66%),34.27,13.34%,35.81%,-1.83%,0.94,2.29 (0.63%),1.08,9.69%,77.10%,43.41%,6.33,"May 13, 2025",1.08,12.45%,67.39%,61.14,1.20%,0.97%,31600,0.55,10.19%,52.21%,1.57,384.72,Yes / Yes,0.44,1.87%,21.69%,0.67,359.73,0.45%,2.99%,9.33%,Apr 29 AMC,6.85M,362.40,1.77%,5.46%,14.52%,"

","4,590,972",0.74%,V,-0.001
Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery,USA,NYSE,"DJIA, S&P 500",17.14,20.52,0.22%,471.04M,2.71%,165.45B,16.67,21.10,-1.71%,469.29M,14.44%,9.94B,6.35,4.93,71.76%,1.63%,3.47%,63.26B,2.62,-14.25%,-2.92%,2.62,-11.50%,38.36,9.17,12.34%,11.78%,7.65M,0.83%,7.57,46.45,2.70%,55.67%,267.30,418.50,-3.02%,5.80 (1.65%),21.01,15.48%,22.65%,-15.94%,1.37,5.64 (1.60%),0.77,5.16%,35.62%,31.61%,8.18,"Apr 21, 2025",1.32,-7.37%,19.81%,64.30,1.37%,1.67%,112900,2.14,-5.58%,15.71%,2.18,362.17,Yes / Yes,1.43,-26.96%,25.08%,0.78,349.49,-3.21%,-2.23%,-9.81%,Apr 30 BMO,2.92M,351.79,3.68%,9.24%,-1.70%,"

","2,290,340",0.66%,CAT,-0.0171
Intercontinental Exchange Inc,Financial,Financial Data & Stock Exchanges,USA,NYSE,S&P 500,36.97,4.83,0.72%,574.00M,2.18%,102.41B,23.33,7.65,-9.14%,569.51M,7.33%,2.78B,3.15,1.74,92.38%,1.21%,4.50%,11.31B,9.05,13.76%,-1.34%,2.02,12.08%,48.74,3.66,10.80%,2.03%,6.91M,30.94%,4.59,38.87,11.73%,10.27%,131.79,179.43,19.81%,1.93 (1.08%),24.78,6.92%,6.10%,-0.50%,1.12,1.83 (1.03%),1.00,13.43%,69.97%,35.47%,3.15,"Jun 13, 2025",1.00,10.82%,40.39%,63.68,0.82%,1.07%,12920,0.74,13.25%,24.60%,1.62,194.62,Yes / Yes,0.63,3.55%,37.65%,0.52,177.80,0.52%,0.96%,8.52%,May 01 BMO,3.43M,178.53,1.82%,5.53%,10.08%,"

","1,789,718",0.41%,ICE,-0.09140000000000001
Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,NYSE,S&P 500,27.97,4.05,0.41%,285.10M,4.01%,32.30B,18.70,6.06,-1.07%,283.95M,5.42%,1.17B,3.47,1.37,90.37%,1.54%,-10.86%,6.63B,4.87,5.39%,-0.04%,1.92,-15.36%,21.61,5.24,8.69%,10.13%,4.38M,-24.81%,5.21,21.73,8.06%,18.88%,96.43,153.84,-15.68%,0.96 (0.85%),27.16,5.63%,12.29%,-26.37%,1.24,0.97 (0.85%),1.60,5.04%,57.20%,17.47%,3.54,"Jul 01, 2025",2.09,-4.08%,23.04%,55.47,1.77%,2.56%,17900,0.57,0.56%,17.59%,2.00,137.67,Yes / Yes,0.55,-28.65%,21.31%,1.70,110.88,2.54%,3.57%,6.04%,May 28 AMC,2.28M,113.28,2.52%,2.98%,-13.45%,"

","3,837,419",2.16%,A,-0.010700000000000001
Haleon plc ADR,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,NYSE,-,28.21,0.40,0.00%,4.51B,2.07%,51.10B,20.73,0.55,-,4.51B,10.21%,1.84B,2.91,-,12.63%,0.43%,15.73%,14.35B,3.56,10.65%,19.65%,1.32,17.41%,4.47,2.53,9.24%,4.27%,19.62M,35.20%,0.62,18.13,9.71%,8.90%,8.24,11.35,18.76%,0.19 (1.66%),22.42,17.40%,5.93%,-0.18%,0.31,0.17 (1.49%),0.78,5.97%,63.23%,37.42%,0.18,"Apr 25, 2025",0.98,43.24%,22.32%,69.87,0.29%,1.36%,-,0.63,2.16%,12.84%,2.12,11.23,Yes / Yes,0.53,24561.95%,41.96%,1.30,11.25,3.31%,5.24%,15.22%,Feb 27 BMO,14.84M,11.33,4.69%,9.02%,13.16%,"

","19,219,524",0.71%,HLN,
International Flavors & Fragrances Inc,Basic Materials,Specialty Chemicals,USA,NYSE,S&P 500,-,-3.26,1.61%,255.70M,-1.28%,19.46B,16.84,4.52,1.87%,251.68M,-1.90%,-835.00M,-,1.12,94.68%,2.30%,-6.12%,11.43B,1.70,-1.77%,0.87%,3.04,-16.22%,51.53,1.48,6.68%,-2.83%,5.78M,-20.87%,2.40,31.75,4.85%,-6.08%,65.85,106.77,-10.02%,1.65 (2.17%),34.20,-24.99%,-3.92%,-28.74%,1.07,1.60 (2.10%),1.39,25.44%,31.04%,15.54%,1.91,"Jun 20, 2025",1.87,66.69%,10.68%,49.60,2.49%,2.42%,22400,0.75,0.68%,-7.31%,1.76,89.00,Yes / Yes,0.62,-1796.50%,168.56%,0.54,75.14,0.45%,5.76%,-1.93%,May 06 AMC,1.90M,76.08,-0.49%,0.36%,-13.64%,"

","1,026,604",1.25%,IFF,0.0187
Monolithic Power System Inc,Technology,Semiconductors,USA,NASD,S&P 500,18.07,37.67,4.03%,47.88M,0.31%,32.59B,34.37,19.80,-2.41%,45.95M,16.02%,1.83B,1.05,4.11,99.31%,5.32%,11.71%,2.39B,13.66,19.96%,0.41%,2.59,17.20%,68.24,9.98,16.92%,57.26%,2.45M,-9.64%,21.44,31.75,17.20%,67.95%,438.86,959.64,15.04%,6.24 (0.92%),52.04,72.75%,55.70%,-29.07%,1.21,5.31 (0.78%),3.67,29.75%,55.37%,55.11%,29.18,"Mar 31, 2025",4.92,342.02%,25.67%,57.10,2.27%,3.27%,4017,0.01,30.57%,76.59%,1.74,752.33,Yes / Yes,0.00,47.35%,13.67%,0.44,677.48,0.53%,0.64%,39.24%,May 01 AMC,945.24K,680.72,1.08%,12.66%,-2.91%,"

","419,847",0.48%,MPWR,-0.0241
Norfolk Southern Corp,Industrials,Railroads,USA,NYSE,S&P 500,16.82,14.64,0.07%,225.44M,2.87%,55.53B,17.26,14.27,1.13%,225.28M,10.27%,3.32B,1.64,3.25,78.57%,1.41%,1.70%,12.11B,4.58,6.86%,-0.26%,2.38,-8.42%,64.37,3.83,12.72%,7.72%,3.17M,8.57%,4.46,55.20,10.23%,24.52%,201.63,277.60,4.94%,5.44 (2.21%),29.39,2.46%,10.64%,-11.28%,1.31,5.40 (2.19%),0.70,1.99%,36.25%,22.15%,5.06,"May 02, 2025",0.78,135.08%,36.25%,64.46,1.32%,1.85%,19600,1.19,0.70%,27.38%,2.00,260.14,Yes / Yes,1.15,1338.36%,46.66%,1.65,242.54,0.75%,1.02%,-0.37%,Apr 23 BMO,1.33M,246.30,4.68%,7.63%,0.77%,"

","2,178,830",1.55%,NSC,0.0113
NVIDIA Corp,Technology,Semiconductors,USA,NASD,"DJIA, NDX, S&P 500",44.83,3.10,4.09%,24.39B,5.61%,3396.24B,24.41,5.70,-0.13%,23.39B,27.67%,76.77B,1.51,1.00,66.40%,1.04%,15.85%,148.51B,22.87,46.13%,-0.61%,0.87,-1.94%,3.44,40.49,30.51%,75.89%,243.99M,30.73%,2.20,63.26,29.79%,115.46%,86.62,153.13,3.65%,0.04 (0.03%),47.13,91.83%,81.82%,-9.10%,2.14,0.04 (0.03%),2.96,70.88%,70.11%,60.69%,4.92,"Jun 11, 2025",3.39,81.36%,58.03%,70.67,2.33%,2.23%,36000,0.12,86.17%,51.69%,1.38,169.96,Yes / Yes,0.12,27.60%,1.16%,1.32,134.81,1.68%,9.89%,69.18%,May 28 AMC,280.91M,139.19,9.67%,20.15%,9.91%,"

","370,615,168",3.25%,NVDA,-0.0013
Coca-Cola Femsa S.A.B. DE C.V. ADR,Consumer Defensive,Beverages - Non-Alcoholic,Mexico,NYSE,-,16.23,5.94,5.19%,52.52M,1.31%,5.07B,13.04,7.40,0.00%,49.80M,3.65%,1.25B,1.63,1.61,39.85%,0.29%,8.62%,14.90B,0.34,13.16%,3.48%,0.66,22.31%,141.17,0.68,11.80%,7.81%,0.15M,1.68%,28.70,3.36,9.98%,17.12%,72.68,101.74,23.89%,3.69 (3.82%),10.35,15.55%,11.37%,-5.15%,0.62,3.12 (3.24%),0.96,9.49%,46.21%,32.77%,2.07,"Apr 22, 2025",1.21,4.48%,14.47%,59.58,0.98%,1.32%,114728,0.51,1.54%,8.38%,1.42,108.34,Yes / Yes,0.48,-14.53%,-,1.27,96.24,1.44%,23.77%,-8.45%,Apr 25 BMO,221.47K,96.50,3.19%,3.27%,12.31%,"

","279,701",0.27%,KOF,0.0
Canadian National Railway Co,Industrials,Railroads,Canada,NYSE,-,20.46,5.13,3.25%,627.50M,-1.06%,65.87B,16.88,6.22,0.00%,607.13M,8.87%,3.24B,2.07,1.37,69.30%,0.37%,5.23%,12.36B,5.33,9.03%,0.94%,1.52,-5.63%,23.94,4.38,10.89%,8.15%,2.22M,-17.28%,0.27,388.57,9.89%,21.81%,91.65,127.89,3.42%,2.51 (2.39%),28.63,3.01%,11.38%,-17.91%,1.00,2.46 (2.34%),0.43,2.44%,43.29%,14.54%,1.91,"Jun 09, 2025",0.62,-18.09%,37.15%,57.09,0.63%,1.92%,24671,0.98,-0.52%,26.20%,2.12,112.61,Yes / Yes,0.89,1.07%,48.22%,0.77,104.87,0.73%,3.84%,-2.60%,May 01 AMC,1.46M,104.98,1.17%,4.79%,-1.26%,"

","1,135,686",0.10%,CNI,0.0
"Tyler Technologies, Inc",Technology,Software - Application,USA,NYSE,S&P 500,86.20,6.63,0.68%,43.11M,0.86%,24.65B,46.21,12.37,-18.62%,42.83M,7.03%,289.91M,6.62,2.77,95.71%,2.58%,-5.57%,2.19B,11.25,16.95%,1.35%,3.75,-6.14%,81.48,7.02,10.76%,5.92%,1.11M,16.18%,18.72,30.53,13.02%,8.87%,458.50,661.31,-0.86%,-,41.55,10.60%,8.18%,-13.55%,0.84,-,0.94,15.32%,42.16%,24.68%,12.65,"Jan 31, 1990",0.94,50.93%,14.69%,54.44,1.06%,0.94%,7400,0.18,9.96%,13.23%,1.67,676.31,Yes / Yes,0.01,46.76%,0.00%,0.88,573.64,1.51%,8.56%,10.31%,Apr 23 AMC,294.97K,571.68,1.30%,1.63%,-2.78%,"

","260,627",-0.34%,TYL,-0.1862
Charles Schwab Corp,Financial,Capital Markets,USA,NYSE,S&P 500,26.68,3.29,5.83%,1.82B,0.21%,159.46B,17.22,5.10,-1.75%,1.71B,8.00%,6.02B,1.19,1.07,84.04%,1.02%,11.90%,26.20B,6.09,32.15%,14.23%,1.70,8.00%,22.20,3.95,18.64%,1.39%,17.52M,21.43%,33.40,2.63,22.48%,14.12%,61.01,89.85,18.58%,1.08 (1.23%),7.51,2.26%,8.64%,-2.32%,0.93,1.04 (1.19%),1.18,18.67%,77.57%,43.85%,1.68,"May 09, 2025",1.18,37.66%,40.89%,64.65,0.90%,0.88%,32100,0.81,2.32%,22.99%,1.70,89.79,Yes / Yes,0.41,44.28%,33.48%,0.75,88.05,1.23%,3.02%,3.13%,Apr 17 BMO,10.32M,87.76,1.79%,8.61%,16.48%,"

","7,800,150",-0.33%,SCHW,-0.0175
Paychex Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",32.74,4.81,10.56%,360.20M,0.77%,56.70B,29.73,5.30,-0.09%,322.15M,7.52%,1.74B,5.18,1.20,79.33%,4.29%,5.82%,5.44B,10.42,5.82%,0.06%,6.27,8.97%,11.43,13.77,6.02%,14.35%,13.82M,26.72%,4.58,34.36,6.32%,44.25%,115.40,159.75,12.27%,3.94 (2.50%),35.55,10.30%,35.06%,-1.46%,0.91,4.02 (2.55%),1.39,7.04%,72.03%,36.41%,2.77,"May 12, 2025",1.39,6.92%,41.83%,63.04,1.27%,0.91%,16500,0.21,4.35%,31.99%,3.21,148.67,Yes / Yes,0.21,4.06%,78.19%,0.63,156.99,0.01%,0.68%,4.84%,Mar 26 BMO,2.20M,157.42,2.51%,5.46%,10.02%,"

","1,402,412",0.27%,PAYX,-0.0009
"Estee Lauder Cos., Inc",Consumer Defensive,Household & Personal Products,USA,NYSE,S&P 500,-,-2.42,35.21%,234.21M,7.87%,24.70B,31.21,2.20,0.11%,233.09M,15.24%,-871.00M,-,0.08,61.05%,4.41%,-5.89%,14.74B,1.68,-42.94%,1.48%,2.53,-1.80%,12.08,5.69,48.88%,-4.09%,10.29M,-45.53%,7.31,9.39,3.17%,-17.27%,48.37,125.90,-8.42%,1.65 (2.40%),26.06,-25.84%,-6.54%,-45.46%,1.13,1.71 (2.49%),1.02,1.35%,73.77%,41.97%,2.54,"May 30, 2025",1.41,-235.59%,8.07%,64.67,3.25%,2.66%,62000,2.16,-3.70%,-5.91%,2.83,64.95,Yes / Yes,2.07,-51.89%,244.24%,1.44,66.27,0.98%,107.87%,-9.73%,May 01 BMO,4.06M,68.67,8.57%,12.12%,-8.63%,"

","5,816,961",3.62%,EL,0.0011
"United Parcel Service, Inc",Industrials,Integrated Freight & Logistics,USA,NYSE,S&P 500,14.31,6.86,13.37%,846.80M,2.35%,83.07B,12.36,7.94,0.00%,733.58M,1.42%,5.86B,3.89,1.59,60.46%,2.48%,-16.60%,90.72B,0.92,-8.66%,-1.93%,2.93,-27.24%,18.49,5.31,12.53%,8.61%,18.22M,-29.25%,5.98,16.40,3.68%,35.96%,90.55,148.15,-22.20%,6.55 (6.68%),15.46,5.76%,15.14%,-33.78%,1.20,6.54 (6.67%),1.09,4.63%,18.15%,8.34%,2.36,"May 19, 2025",1.09,-0.76%,9.62%,49.36,1.84%,1.97%,490000,1.63,1.30%,6.46%,2.18,113.62,Yes / Yes,1.47,7.53%,96.41%,0.74,96.74,2.36%,7.99%,-0.81%,Apr 29 BMO,6.22M,98.10,0.78%,-2.37%,-18.66%,"

","4,595,527",1.41%,UPS,0.0
